model,fitur,fitur_tampil,RMSE_test,Theil_U2,RMSE_change,U2_change,hit_change,hit_all,exact_hit,DM_stat,DM_p_value,delta_RMSE,sigma,sigma_delta,ambang,rasio_sigma,terbaca
XGBoost,M2_Triliun_Rp,M2 (Uang Beredar),0.1867286515466372,1.4938292123730978,0.2299456419848537,0.9197825679394148,0.4444444444444444,0.4722222222222222,0.4722222222222222,2.553258732822803,0.0151869652290217,-0.0339638970188544,0.0,0.0,0.0,inf,True
XGBoost,Credit_Growth_YoY_Pct,Pertumbuhan Kredit,0.2037629408691956,1.6301035269535653,0.2288782838134062,0.9155131352536248,0.2222222222222222,0.5,0.4722222222222222,3.162723011418177,0.0032241954820817,-0.016929607696296,0.0,0.0,0.0,inf,True
XGBoost,IHSG_End_of_Month,IHSG,0.196009036326533,1.568072290612264,0.2163777107806713,0.8655108431226853,0.5555555555555556,0.4722222222222222,0.4444444444444444,2.3708283662170166,0.0233854108030584,-0.0246835122389587,0.0,0.0,0.0,inf,True
XGBoost,Foreign_Reserves_Miliar_USD,Cadangan Devisa,0.196901645615391,1.5752131649231282,0.2244367341446478,0.8977469365785915,0.5555555555555556,0.4444444444444444,0.4166666666666667,2.226969373825204,0.0324795932910257,-0.0237909029501006,0.0,0.0,0.0,inf,True
XGBoost,Federal_Funds_Rate_Pct,Federal Funds Rate,0.2012512613045327,1.6100100904362618,0.2218898420388177,0.8875593681552708,0.5555555555555556,0.4444444444444444,0.4166666666666667,2.343568441690828,0.0249079619582197,-0.0194412872609589,0.0,0.0,0.0,inf,True
XGBoost,Oil_Price_Brent_USD_per_Bbl,Harga Minyak Brent,0.1991452248048777,1.5931617984390216,0.2235715817498212,0.8942863269992848,0.6666666666666666,0.5,0.4722222222222222,2.238009621382872,0.0316832592467102,-0.0215473237606139,0.0,0.0,0.0,inf,True
XGBoost,Gold_Price_USD_per_Oz,Harga Emas,0.194169612290633,1.5533568983250643,0.2227202434455973,0.8908809737823895,0.5555555555555556,0.4166666666666667,0.3888888888888889,2.255871478485667,0.0304318202758966,-0.0265229362748586,0.0,0.0,0.0,inf,True
XGBoost,VIX_Volatility_Index,VIX,0.1965516507118668,1.5724132056949345,0.2156622887463062,0.8626491549852251,0.5555555555555556,0.4444444444444444,0.4166666666666667,2.307991410359221,0.0270295526860631,-0.0241408978536248,0.0,0.0,0.0,inf,True
XGBoost,BI_Rate_Pct_lag1,BI-Rate t-1 (Persistensi),0.2563281252622688,2.0506250020981507,0.2847677814876314,1.1390711259505255,0.4444444444444444,0.2777777777777778,0.25,4.25650619037508,0.0001477291938782,0.0356355766967771,0.0,0.0,0.0,inf,True
XGBoost,BI_Rate_Pct_lag2,BI-Rate t-2,0.2119743204539502,1.695794563631602,0.22130146809465,0.8852058723786002,0.6666666666666666,0.4722222222222222,0.4444444444444444,2.79153546961064,0.008440428898998,-0.0087182281115414,0.0,0.0,0.0,inf,True
